Date,Open,High,Low,Close,Volume
1956-12-31,525.63,617.67,524.63,564.97,0
1957-12-31,568.14,606.14,432.11,432.11,0
1958-12-31,448.97,547.72,444.1,547.72,0
1959-12-31,562.52,598.96,538.37,555.09,0
1960-12-31,529.8,544.74,494.06,544.74,0
1961-12-31,575.6,700.85,575.6,700.85,0
1962-12-31,682.83,686.81,571.84,628.99,0
1963-12-31,659.89,702.71,638.45,702.71,0
1964-12-31,721.44,853.53,715.36,853.53,0
1965-12-31,901.4,911.26,838.42,881.14,0
1966-12-31,917.75,917.75,761.11,789.51,0
1967-12-31,843.44,922.5,843.44,899.2,0
1968-12-31,873.62,1062.88,814.79,1062.88,0
1969-12-31,1090.82,1131.04,950.75,1019.77,0
1970-12-31,980.23,1006.4,810.78,947.54,0
1971-12-31,975.13,1017,881.41,990.54,0
1972-12-31,1078.92,1226.58,1078.92,1226.58,0
1973-12-31,1246.82,1319.26,1149,1187.78,0
1974-12-31,1196.44,1241.78,835.42,835.42,0
1975-12-31,979.6,1055.29,930.93,953.54,0
1976-12-31,955.1,1106.17,920.1,1011.52,0
1977-12-31,1012.1,1067.35,961.04,1059.59,0
1978-12-31,1047.8,1332.71,998.19,1309.99,0
1979-12-31,1315.82,1813.17,1315.82,1813.17,0
1980-12-31,1806.08,2402.23,1702.51,2268.7,0
1981-12-31,2290.4,2390.6,1812.5,1954.2,0
1982-12-31,1956.3,1958.08,1346.35,1958.08,0
1983-12-31,1949.81,2598.26,1949.81,2552.35,0
1984-12-31,2551.56,2585.73,2260,2400.33,0
1985-12-31,2395,2893.09,2348.55,2893.09,0
1986-12-31,2898,3134,2744,3066.18,0
1987-12-31,3066,4119,2783,3160.05,0
1988-12-31,3168,3479,2976,3389.99,0
1989-12-31,3378,4043,3348,3969.8,0
1990-12-31,3962,4021,3008,3256.8,0
1991-12-31,3246,3604.09,3151,3512.36,0
1992-12-31,3493,3672.5,3149.9,3350.44,0
1993-12-31,3349,4330,3263.1,4321.43,0
1994-12-31,4348,4609.93,3930.7,4213.61,0
1995-12-31,4213.6,4755.6,3980.7,4713.54,0
1996-12-31,4713.5,6021.9,4706.7,5927.03,0
1997-12-31,5927,7226.6,5657.8,6699.44,0
1998-12-31,6699.4,7837.7,5320.9,6485.94,0
1999-12-31,6485.9,8510.9,6153.6,8413.75,0
2000-12-31,8413.8,11423.7,8014.7,8933.7,0
2001-12-31,8933.7,9437.9,6286.3,7688.41,0
2002-12-31,7679.6,7992.7,5678.3,6614.54,0
2003-12-31,6614.5,8276.84,6204.9,8220.89,0
2004-12-31,8241.17,9287.4,8098.06,9246.65,0
2005-12-31,9245.04,11296.78,8952.79,11272.25,0
2006-12-31,11278.21,13042.76,10860.71,12908.38,0
2007-12-31,12929.03,14646.82,12412.54,13833.05,0
2008-12-31,13901,15154.76,7647.11,8987.7,0
2009-12-31,8949.77,11816.33,7479.96,11746.11,0
2010-12-31,11839.8,13493.64,10990.41,13443.22,0
2011-12-31,13529.98,14329.49,10848.19,11955.09,7648041764
2012-12-31,11955.94,12785.22,11209.55,12433.53,44095081000
2013-12-31,12571.76,13644.28,11759.04,13621.55,41754364840
2014-12-31,13621.4,15685.12,13450.31,14632.44,45515991248
2015-12-31,14637.34,15524.75,12617.66,13009.95,50594655020
2016-12-31,12882.52,15432.61,11531.22,15287.59,57001560392
2017-12-31,15370.8,16232.24,14915.78,16209.13,49053341896
2018-12-31,16205.12,16586.46,13776.88,14322.86,56741733327
2019-12-31,14191.88,17230.58,14112.84,17063.43,54750417324
2020-12-31,17137.65,17970.51,11172.73,17433.36,69934772267
2021-12-31,17591.45,21796.16,17297.75,21222.84,57798632651
2022-12-31,21406.02,22213.07,17873.18,19384.92,66665056204
2023-12-31,19544.06,21091.05,18692.06,20958.44,55693101507
2024-12-31,20882.55,25843.2,20466.5,24727.94,54345567630
2025-12-31,24893.57,32081.92,22227.74,31712.76,63404122148
2026-12-31,31817.65,34544.46,31146.3,32382.6,17363506956
